gene_symbol,biofilm_logFC,biofilm_padj,planktonic_logFC,planktonic_padj,biofilm_label,biofilm_abs_logFC,planktonic_abs_logFC,biofilm_significant,planktonic_significant
rebB2,0.328,1.0,-0.313,1.0,0,0.328,0.313,0,0
PA14_29800,0.267,1.0,-0.786,1.0,0,0.267,0.786,0,0
PA14_30730,-0.219,1.0,-0.322,1.0,0,0.219,0.322,0,0
PA14_34100,0.298,1.0,-0.196,1.0,0,0.298,0.196,0,0
PA14_37440,0.558,1.0,-0.162,1.0,0,0.558,0.162,0,0
PA14_39480,-0.189,1.0,-0.279,1.0,0,0.189,0.279,0,0
pscD,0.49,1.0,0.243,1.0,0,0.49,0.243,0,0
PA14_44100,0.273,1.0,-0.189,1.0,0,0.273,0.189,0,0
recR,0.285,1.0,-0.173,1.0,0,0.285,0.173,0,0
PA14_49720,-0.52,1.0,-0.198,1.0,0,0.52,0.198,0,0
PA14_50570,0.226,1.0,-0.162,1.0,0,0.226,0.162,0,0
PA14_51490,-0.239,1.0,-0.419,1.0,0,0.239,0.419,0,0
PA14_52510,-0.264,1.0,-0.213,1.0,0,0.264,0.213,0,0
PA14_53770,-0.439,1.0,-0.162,1.0,0,0.439,0.162,0,0
PA14_55880,0.505,1.0,-0.242,1.0,0,0.505,0.242,0,0
PA14_56450,0.365,1.0,0.165,1.0,0,0.365,0.165,0,0
PA14_58300,0.214,1.0,-0.153,1.0,0,0.214,0.153,0,0
piuB,-0.246,1.0,-0.206,1.0,0,0.246,0.206,0,0
PA14_59860,-1.238,1.0,-0.193,1.0,0,1.238,0.193,0,0
rsmC,0.459,1.0,0.175,1.0,0,0.459,0.175,0,0
PA14_63110,-0.482,1.0,-0.306,1.0,0,0.482,0.306,0,0
PA14_64280,1.565,1.0,-0.205,1.0,0,1.565,0.205,0,0
osmE,-0.44,1.0,-0.137,1.0,0,0.44,0.137,0,0
PA14_64490,-0.417,1.0,0.159,1.0,0,0.417,0.159,0,0
psd,0.299,1.0,0.16,1.0,0,0.299,0.16,0,0
PA14_67170,0.332,1.0,-0.23,1.0,0,0.332,0.23,0,0
PA14_67370,0.273,1.0,-0.274,1.0,0,0.273,0.274,0,0
gshA,0.208,1.0,-0.341,1.0,0,0.208,0.341,0,0
PA14_70050,0.241,1.0,0.223,1.0,0,0.241,0.223,0,0
PA14_70300,-0.317,1.0,0.354,1.0,0,0.317,0.354,0,0
PA14_72900,-0.201,1.0,-0.238,1.0,0,0.201,0.238,0,0
PrrF,-2.305,1.0,0.242,1.0,0,2.305,0.242,0,0
tRNA,0.596,1.0,-0.244,1.0,0,0.596,0.244,0,0
mdcL,0.313,1.0,-0.223,1.0,0,0.313,0.223,0,0
catI,0.278,1.0,0.191,1.0,0,0.278,0.191,0,0
PA14_05060,-0.229,1.0,-0.694,1.0,0,0.229,0.694,0,0
PA14_05400,0.346,1.0,0.213,1.0,0,0.346,0.213,0,0
PA14_06640,0.258,1.0,-0.236,1.0,0,0.258,0.236,0,0
gpU,-0.199,1.0,-0.185,1.0,0,0.199,0.185,0,0
rplK,-0.209,1.0,0.186,1.0,0,0.209,0.186,0,0
PA14_11730,0.421,1.0,0.58,1.0,0,0.421,0.58,0,0
eutC,-0.289,1.0,0.203,1.0,0,0.289,0.203,0,0
PA14_12150,0.296,1.0,0.487,1.0,0,0.296,0.487,0,0
PA14_13290,0.405,1.0,-0.152,1.0,0,0.405,0.152,0,0
PA14_15870,0.245,1.0,0.179,1.0,0,0.245,0.179,0,0
kdsA,-0.19,1.0,-0.304,1.0,0,0.19,0.304,0,0
rpoS,-0.191,1.0,-0.279,1.0,0,0.191,0.279,0,0
fdxA,-0.212,1.0,-0.631,1.0,0,0.212,0.631,0,0
nosL,0.923,1.0,-0.186,1.0,0,0.923,0.186,0,0
leuC,-0.179,1.0,-0.314,1.0,0,0.179,0.314,0,0
PA14_26080,-0.274,1.0,0.629,1.0,0,0.274,0.629,0,0
tesA,-0.208,1.0,0.311,1.0,0,0.208,0.311,0,0
PA14_27740,0.286,1.0,-0.411,1.0,0,0.286,0.411,0,0
yadH,-0.242,1.0,-0.456,1.0,0,0.242,0.456,0,0
PA14_27950,-0.241,1.0,-0.142,1.0,0,0.241,0.142,0,0
PA14_28240,-0.277,1.0,-0.206,1.0,0,0.277,0.206,0,0
PA14_29340,-1.074,1.0,0.259,1.0,0,1.074,0.259,0,0
antB,1.078,1.0,-1.177,1.0,0,1.078,1.177,0,0
lpdV,-0.67,1.0,0.214,1.0,0,0.67,0.214,0,0
PA14_37200,-0.26,1.0,-0.164,1.0,0,0.26,0.164,0,0
PA14_38270,0.204,1.0,0.528,1.0,0,0.204,0.528,0,0
pqqC,0.278,1.0,-0.16,1.0,0,0.278,0.16,0,0
pscK,0.979,1.0,0.217,1.0,0,0.979,0.217,0,0
PA14_42990,0.315,1.0,-0.318,1.0,0,0.315,0.318,0,0
PA14_43030,0.267,1.0,0.169,1.0,0,0.267,0.169,0,0
kdpE,0.307,1.0,-0.454,1.0,0,0.307,0.454,0,0
yohC,0.385,1.0,-0.135,1.0,0,0.385,0.135,0,0
prpC,-0.214,1.0,0.183,1.0,0,0.214,0.183,0,0
PA14_55250,0.367,1.0,0.265,1.0,0,0.367,0.265,0,0
pigC,0.368,1.0,0.95,1.0,0,0.368,0.95,0,0
iciA,0.35,1.0,0.388,1.0,0,0.35,0.388,0,0
fumC1,-0.242,1.0,0.154,1.0,0,0.242,0.154,0,0
PA14_58910,-0.308,1.0,-0.164,1.0,0,0.308,0.164,0,0
pilR2,-0.259,1.0,-0.113,1.0,0,0.259,0.113,0,0
PA14_59970,-0.196,1.0,-0.167,1.0,0,0.196,0.167,0,0
PA14_61270,-0.501,1.0,-0.188,1.0,0,0.501,0.188,0,0
yieG,-0.329,1.0,-0.2,1.0,0,0.329,0.2,0,0
omlA,-0.229,1.0,0.359,1.0,0,0.229,0.359,0,0
PA14_63320,0.345,1.0,0.15,1.0,0,0.345,0.15,0,0
PA14_63380,-0.427,1.0,-0.145,1.0,0,0.427,0.145,0,0
ureA,1.046,1.0,0.219,1.0,0,1.046,0.219,0,0
yjfH,0.222,1.0,-0.154,1.0,0,0.222,0.154,0,0
motA,-0.195,1.0,-0.583,1.0,0,0.195,0.583,0,0
wapQ,0.303,1.0,0.169,1.0,0,0.303,0.169,0,0
blc,0.252,1.0,0.279,1.0,0,0.252,0.279,0,0
hisH1,0.244,1.0,-0.236,1.0,0,0.244,0.236,0,0
argE,0.233,1.0,0.86,1.0,0,0.233,0.86,0,0
algR,0.228,1.0,-0.126,1.0,0,0.228,0.126,0,0
argH,-0.193,1.0,-0.249,1.0,0,0.193,0.249,0,0
rubA1,-0.228,1.0,0.164,1.0,0,0.228,0.164,0,0
PA14_71840,0.226,1.0,0.209,1.0,0,0.226,0.209,0,0
PA14_73200,0.235,1.0,-0.747,1.0,0,0.235,0.747,0,0
PA14_01220,0.279,1.0,0.453,1.0,0,0.279,0.453,0,0
PA14_01270,0.372,1.0,0.158,1.0,0,0.372,0.158,0,0
atsR,-0.467,1.0,-0.19,1.0,0,0.467,0.19,0,0
PA14_03760,-0.282,1.0,0.694,1.0,0,0.282,0.694,0,0
PA14_04010,-0.212,1.0,0.21,1.0,0,0.212,0.21,0,0
PA14_06240,-0.304,1.0,0.197,1.0,0,0.304,0.197,0,0
rarD,-0.219,1.0,0.374,1.0,0,0.219,0.374,0,0
PA14_07250,0.291,1.0,0.227,1.0,0,0.291,0.227,0,0
PA14_08120,-0.194,1.0,0.194,1.0,0,0.194,0.194,0,0
PA14_08380,-0.197,1.0,0.171,1.0,0,0.197,0.171,0,0
hpcH,0.57,1.0,-0.373,1.0,0,0.57,0.373,0,0
sotB,-0.376,1.0,0.404,1.0,0,0.376,0.404,0,0
holA,-0.32,1.0,0.28,1.0,0,0.32,0.28,0,0
cepA,-0.387,1.0,-0.182,1.0,0,0.387,0.182,0,0
PA14_15370,-0.315,1.0,0.175,1.0,0,0.315,0.175,0,0
arnB,-0.502,1.0,0.26,1.0,0,0.502,0.26,0,0
PA14_19410,0.195,1.0,0.171,1.0,0,0.195,0.171,0,0
PA14_20920,0.273,1.0,-0.171,1.0,0,0.273,0.171,0,0
oprO,-0.209,1.0,-0.363,1.0,0,0.209,0.363,0,0
PA14_22720,0.504,1.0,0.385,1.0,0,0.504,0.385,0,0
edd,0.367,1.0,-0.586,1.0,0,0.367,0.586,0,0
ygfF,0.236,1.0,-0.361,1.0,0,0.236,0.361,0,0
PA14_24240,0.24,1.0,-0.526,1.0,0,0.24,0.526,0,0
lolD,0.285,1.0,0.221,1.0,0,0.285,0.221,0,0
lolE,0.251,1.0,0.146,1.0,0,0.251,0.146,0,0
pabC,0.334,1.0,0.228,1.0,0,0.334,0.228,0,0
PA14_26420,-0.272,1.0,0.415,1.0,0,0.272,0.415,0,0
PA14_26580,-0.614,1.0,-0.16,1.0,0,0.614,0.16,0,0
PA14_27200,0.243,1.0,0.127,1.0,0,0.243,0.127,0,0
PA14_27880,0.385,1.0,-0.354,1.0,0,0.385,0.354,0,0
PA14_30440,-0.282,1.0,-0.131,1.0,0,0.282,0.131,0,0
PA14_30590,0.242,1.0,0.167,1.0,0,0.242,0.167,0,0
gcvH2,0.372,1.0,-0.383,1.0,0,0.372,0.383,0,0
PA14_37760,0.201,1.0,0.614,1.0,0,0.201,0.614,0,0
PA14_40130,0.258,1.0,-0.145,1.0,0,0.258,0.145,0,0
pscH,0.885,1.0,-0.235,1.0,0,0.885,0.235,0,0
PA14_42680,-0.243,1.0,-0.418,1.0,0,0.243,0.418,0,0
PA14_43000,0.314,1.0,-0.513,1.0,0,0.314,0.513,0,0
PA14_46140,0.637,1.0,-0.256,1.0,0,0.637,0.256,0,0
PA14_48210,0.396,1.0,-0.449,1.0,0,0.396,0.449,0,0
PA14_48280,0.732,1.0,-0.158,1.0,0,0.732,0.158,0,0
PA14_48910,-0.393,1.0,0.15,1.0,0,0.393,0.15,0,0
PA14_50310,0.353,1.0,-0.465,1.0,0,0.353,0.465,0,0
braF,0.322,1.0,0.301,1.0,0,0.322,0.301,0,0
aruD,0.246,1.0,0.181,1.0,0,0.246,0.181,0,0
PA14_53580,-0.208,1.0,0.18,1.0,0,0.208,0.18,0,0
cafA,0.232,1.0,0.167,1.0,0,0.232,0.167,0,0
PA14_60270,0.237,1.0,0.171,1.0,0,0.237,0.171,0,0
hisF1,0.219,1.0,0.16,1.0,0,0.219,0.16,0,0
xpt,-0.271,1.0,0.168,1.0,0,0.271,0.168,0,0
PA14_70920,-0.355,1.0,0.265,1.0,0,0.355,0.265,0,0
betI,-0.273,1.0,0.153,1.0,0,0.273,0.153,0,0
PA14_71900,-0.754,1.0,-0.164,1.0,0,0.754,0.164,0,0
wzm,0.312,1.0,0.827,1.0,0,0.312,0.827,0,0
trkA,0.228,1.0,0.376,1.0,0,0.228,0.376,0,0
hemF,-0.25,1.0,-0.272,1.0,0,0.25,0.272,0,0
nuh,-0.244,1.0,-0.143,1.0,0,0.244,0.143,0,0
PA14_02140,0.817,1.0,0.569,1.0,0,0.817,0.569,0,0
pcaB,0.401,1.0,0.171,1.0,0,0.401,0.171,0,0
PA14_03530,-0.357,1.0,-0.156,1.0,0,0.357,0.156,0,0
rhlE,0.225,1.0,-0.121,1.0,0,0.225,0.121,0,0
PA14_06620,0.304,1.0,0.149,1.0,0,0.304,0.149,0,0
PA14_07780,-0.173,1.0,-0.15,1.0,0,0.173,0.15,0,0
PA14_08280,-0.188,1.0,-0.229,1.0,0,0.188,0.229,0,0
rpsQ,-0.259,1.0,0.173,1.0,0,0.259,0.173,0,0
ddlA,0.255,1.0,0.145,1.0,0,0.255,0.145,0,0
PA14_10050,-0.962,1.0,1.288,1.0,0,0.962,1.288,0,0
adh,0.356,1.0,0.254,1.0,0,0.356,0.254,0,0
hpcC,0.365,1.0,-0.255,1.0,0,0.365,0.255,0,0
nadD,0.268,1.0,0.174,1.0,0,0.268,0.174,0,0
rhl,-0.204,1.0,0.15,1.0,0,0.204,0.15,0,0
PA14_14210,0.332,1.0,-1.012,1.0,0,0.332,1.012,0,0
PA14_14280,-0.306,1.0,0.301,1.0,0,0.306,0.301,0,0
PA14_16300,0.263,1.0,-0.162,1.0,0,0.263,0.162,0,0
opmE,0.932,1.0,-1.019,1.0,0,0.932,1.019,0,0
PA14_18830,0.284,1.0,0.516,1.0,0,0.284,0.516,0,0
rnfA,-0.237,1.0,0.217,1.0,0,0.237,0.217,0,0
ssuB,0.839,1.0,-0.341,1.0,0,0.839,0.341,0,0
PA14_20690,0.268,1.0,0.153,1.0,0,0.268,0.153,0,0
PA14_22220,-0.374,1.0,0.386,1.0,0,0.374,0.386,0,0
PA14_22650,0.254,1.0,-0.193,1.0,0,0.254,0.193,0,0
act,0.232,1.0,-0.175,1.0,0,0.232,0.175,0,0
accD,0.207,1.0,-0.243,1.0,0,0.207,0.243,0,0
efp,-0.323,1.0,0.233,1.0,0,0.323,0.233,0,0
PA14_27800,0.274,1.0,-0.244,1.0,0,0.274,0.244,0,0
PA14_30560,0.269,1.0,-0.259,1.0,0,0.269,0.259,0,0
bphR,-0.322,1.0,0.121,1.0,0,0.322,0.121,0,0
PA14_32480,-0.828,1.0,0.159,1.0,0,0.828,0.159,0,0
optS,-0.292,1.0,0.244,1.0,0,0.292,0.244,0,0
PA14_34290,-0.598,1.0,0.138,1.0,0,0.598,0.138,0,0
ptxS,0.371,1.0,0.779,1.0,0,0.371,0.779,0,0
PA14_35860,-0.18,1.0,0.222,1.0,0,0.18,0.222,0,0
PA14_36910,0.185,1.0,0.14,1.0,0,0.185,0.14,0,0
PA14_37770,0.327,1.0,0.152,1.0,0,0.327,0.152,0,0
PA14_39020,-0.334,1.0,0.125,1.0,0,0.334,0.125,0,0
rbsR,0.259,1.0,-0.173,1.0,0,0.259,0.173,0,0
PA14_40440,-0.235,1.0,0.16,1.0,0,0.235,0.16,0,0
PA14_41260,-0.341,1.0,0.203,1.0,0,0.341,0.203,0,0
PA14_42140,-0.198,1.0,0.162,1.0,0,0.198,0.162,0,0
exsC,0.244,1.0,0.19,1.0,0,0.244,0.19,0,0
ccoO,-0.32,1.0,-0.38,1.0,0,0.32,0.38,0,0
PA14_44760,0.254,1.0,0.169,1.0,0,0.254,0.169,0,0
yybH,-0.241,1.0,0.357,1.0,0,0.241,0.357,0,0
pfuA,0.267,1.0,0.129,1.0,0,0.267,0.129,0,0
PA14_50330,0.269,1.0,0.21,1.0,0,0.269,0.21,0,0
PA14_52340,-0.393,1.0,-0.258,1.0,0,0.393,0.258,0,0
PA14_55040,-0.404,1.0,0.277,1.0,0,0.404,0.277,0,0
maf,0.235,1.0,0.607,1.0,0,0.235,0.607,0,0
PA14_59570,-0.894,1.0,0.151,1.0,0,0.894,0.151,0,0
cupD1,-0.292,1.0,-0.225,1.0,0,0.292,0.225,0,0
PA14_63520,-0.512,1.0,0.174,1.0,0,0.512,0.174,0,0
PA14_63820,-0.559,1.0,0.172,1.0,0,0.559,0.172,0,0
hisX,0.221,1.0,0.31,1.0,0,0.221,0.31,0,0
PA14_67400,0.225,1.0,-0.166,1.0,0,0.225,0.166,0,0
PA14_72020,0.3,1.0,-0.198,1.0,0,0.3,0.198,0,0
PA14_01550,0.283,1.0,-0.361,1.0,0,0.283,0.361,0,0
PA14_03720,-0.284,1.0,-0.124,1.0,0,0.284,0.124,0,0
PA14_04840,0.258,1.0,-0.324,1.0,0,0.258,0.324,0,0
PA14_05030,-0.318,1.0,-0.21,1.0,0,0.318,0.21,0,0
PA14_05040,0.364,1.0,-0.867,1.0,0,0.364,0.867,0,0
pilH,-0.208,1.0,0.243,1.0,0,0.208,0.243,0,0
gltX,0.617,1.0,0.35,1.0,0,0.617,0.35,0,0
rpe,-0.255,1.0,0.767,1.0,0,0.255,0.767,0,0
XR2,-0.201,1.0,0.276,1.0,0,0.201,0.276,0,0
PA14_08200,-0.191,1.0,0.346,1.0,0,0.191,0.346,0,0
PA14_09660,-0.199,1.0,0.655,1.0,0,0.199,0.655,0,0
PA14_10840,0.283,1.0,-0.674,1.0,0,0.283,0.674,0,0
algK,-1.137,1.0,-0.215,1.0,0,1.137,0.215,0,0
PA14_18810,-0.224,1.0,-0.417,1.0,0,0.224,0.417,0,0
PA14_19380,-0.498,1.0,-0.253,1.0,0,0.498,0.253,0,0
ldh,0.206,1.0,-0.164,1.0,0,0.206,0.164,0,0
rluA,-0.45,1.0,-0.225,1.0,0,0.45,0.225,0,0
yciK,0.229,1.0,0.228,1.0,0,0.229,0.228,0,0
xcpX,0.213,1.0,0.147,1.0,0,0.213,0.147,0,0
PA14_24190,0.288,1.0,-0.228,1.0,0,0.288,0.228,0,0
PA14_24300,0.308,1.0,-0.299,1.0,0,0.308,0.299,0,0
PA14_27560,-0.218,1.0,-0.178,1.0,0,0.218,0.178,0,0
PA14_28070,-0.347,1.0,-0.194,1.0,0,0.347,0.194,0,0
PA14_29470,0.245,1.0,-0.22,1.0,0,0.245,0.22,0,0
PA14_29650,0.576,1.0,1.278,1.0,0,0.576,1.278,0,0
PA14_29710,-0.525,1.0,-0.231,1.0,0,0.525,0.231,0,0
PA14_32280,0.23,1.0,0.25,1.0,0,0.23,0.25,0,0
PA14_36540,-0.299,1.0,-0.176,1.0,0,0.299,0.176,0,0
PA14_36620,-0.596,1.0,-0.106,1.0,0,0.596,0.106,0,0
hmgA,-0.203,1.0,-0.201,1.0,0,0.203,0.201,0,0
PA14_40370,-0.316,1.0,0.152,1.0,0,0.316,0.152,0,0
lon,0.192,1.0,-1.44,1.0,0,0.192,1.44,0,0
PA14_41690,-0.308,1.0,0.255,1.0,0,0.308,0.255,0,0
PA14_46020,-0.285,1.0,-0.103,1.0,0,0.285,0.103,0,0
PA14_46860,0.588,1.0,-0.174,1.0,0,0.588,0.174,0,0
aprA,-0.228,1.0,0.129,1.0,0,0.228,0.129,0,0
PA14_48420,-0.144,1.0,0.126,1.0,0,0.144,0.126,0,0
PA14_50750,-0.282,1.0,0.113,1.0,0,0.282,0.113,0,0
yigN,-0.218,1.0,-0.563,1.0,0,0.218,0.563,0,0
PA14_51830,-0.505,1.0,0.145,1.0,0,0.505,0.145,0,0
ygcA,0.202,1.0,0.217,1.0,0,0.202,0.217,0,0
trxB2,0.349,1.0,0.2,1.0,0,0.349,0.2,0,0
PA14_53530,0.305,1.0,-0.27,1.0,0,0.305,0.27,0,0
PA14_53870,0.768,1.0,0.341,1.0,0,0.768,0.341,0,0
PA14_54850,-0.298,1.0,-0.176,1.0,0,0.298,0.176,0,0
PA14_56560,0.239,1.0,0.295,1.0,0,0.239,0.295,0,0
PA14_57170,-0.206,1.0,0.134,1.0,0,0.206,0.134,0,0
PA14_59100,-0.293,1.0,-0.228,1.0,0,0.293,0.228,0,0
PA14_62100,-0.211,1.0,-0.147,1.0,0,0.211,0.147,0,0
PA14_63350,0.288,1.0,0.161,1.0,0,0.288,0.161,0,0
fdnI,0.366,1.0,0.541,1.0,0,0.366,0.541,0,0
PA14_69300,-0.197,1.0,-0.339,1.0,0,0.197,0.339,0,0
PA14_72710,0.417,1.0,-0.134,1.0,0,0.417,0.134,0,0
PA14_00700,0.653,1.0,-0.21,1.0,0,0.653,0.21,0,0
coxB,0.216,1.0,-0.31,1.0,0,0.216,0.31,0,0
PA14_02110,0.418,1.0,-0.196,1.0,0,0.418,0.196,0,0
PA14_04700,0.193,1.0,0.202,1.0,0,0.193,0.202,0,0
chpE,0.558,1.0,0.206,1.0,0,0.558,0.206,0,0
PA14_05450,-0.42,1.0,0.175,1.0,0,0.42,0.175,0,0
dsbB,-0.223,1.0,0.157,1.0,0,0.223,0.157,0,0
rplE,-0.242,1.0,0.15,1.0,0,0.242,0.15,0,0
narK2,0.613,1.0,0.145,1.0,0,0.613,0.145,0,0
PA14_19740,0.271,1.0,0.203,1.0,0,0.271,0.203,0,0
PA14_20240,-0.323,1.0,-0.247,1.0,0,0.323,0.247,0,0
lecB,0.245,1.0,0.996,1.0,0,0.245,0.996,0,0
PA14_22530,-0.464,1.0,-0.131,1.0,0,0.464,0.131,0,0
PA14_22860,0.275,1.0,0.245,1.0,0,0.275,0.245,0,0
himD,-0.148,1.0,0.168,1.0,0,0.148,0.168,0,0
nagZ,-0.17,1.0,0.59,1.0,0,0.17,0.59,0,0
PA14_26280,0.215,1.0,0.205,1.0,0,0.215,0.205,0,0
PA14_31230,0.494,1.0,0.234,1.0,0,0.494,0.234,0,0
PA14_33120,0.233,1.0,0.281,1.0,0,0.233,0.281,0,0
mtlZ,-0.743,1.0,-0.413,1.0,0,0.743,0.413,0,0
gapB,0.264,1.0,-0.135,1.0,0,0.264,0.135,0,0
stp1,0.586,1.0,0.15,1.0,0,0.586,0.15,0,0
PA14_44170,-0.181,1.0,0.113,1.0,0,0.181,0.113,0,0
pykF,0.33,1.0,-0.175,1.0,0,0.33,0.175,0,0
ccmH,0.31,1.0,-0.209,1.0,0,0.31,0.209,0,0
PA14_45460,-0.212,1.0,0.123,1.0,0,0.212,0.123,0,0
fliO,0.489,1.0,-0.224,1.0,0,0.489,0.224,0,0
gbuR,-0.225,1.0,-0.115,1.0,0,0.225,0.115,0,0
PA14_46640,-0.273,1.0,0.456,1.0,0,0.273,0.456,0,0
PA14_49640,0.263,1.0,0.169,1.0,0,0.263,0.169,0,0
PA14_49810,-0.248,1.0,0.13,1.0,0,0.248,0.13,0,0
pauA,0.25,1.0,0.18,1.0,0,0.25,0.18,0,0
PA14_52890,0.692,1.0,0.154,1.0,0,0.692,0.154,0,0
PA14_52930,-0.472,1.0,-0.206,1.0,0,0.472,0.206,0,0
PA14_55760,-0.317,1.0,0.234,1.0,0,0.317,0.234,0,0
feoA,-0.634,1.0,-0.198,1.0,0,0.634,0.198,0,0
PA14_56970,0.29,1.0,-0.22,1.0,0,0.29,0.22,0,0
PA14_57030,0.263,1.0,0.163,1.0,0,0.263,0.163,0,0
secA,-0.159,1.0,0.196,1.0,0,0.159,0.196,0,0
murE,0.211,1.0,-0.184,1.0,0,0.211,0.184,0,0
PA14_57990,1.531,1.0,0.132,1.0,0,1.531,0.132,0,0
PA14_63880,0.342,1.0,0.195,1.0,0,0.342,0.195,0,0
PA14_64840,-0.296,1.0,-0.221,1.0,0,0.296,0.221,0,0
serB,0.209,1.0,-0.499,1.0,0,0.209,0.499,0,0
proX,0.255,1.0,0.161,1.0,0,0.255,0.161,0,0
secB,-0.533,1.0,0.218,1.0,0,0.533,0.218,0,0
yigN,-0.27,1.0,0.164,1.0,0,0.27,0.164,0,0
PA14_72850,0.285,1.0,-0.438,1.0,0,0.285,0.438,0,0
PA14_00360,0.35,1.0,0.5,1.0,0,0.35,0.5,0,0
PA14_00670,-0.24,1.0,-0.173,1.0,0,0.24,0.173,0,0
PA14_07200,-0.179,1.0,-0.242,1.0,0,0.179,0.242,0,0
JF1,-0.188,1.0,-0.173,1.0,0,0.188,0.173,0,0
rpsH,-0.183,1.0,0.455,1.0,0,0.183,0.455,0,0
PA14_11650,-0.258,1.0,-0.327,1.0,0,0.258,0.327,0,0
PA14_12030,0.204,1.0,-0.355,1.0,0,0.204,0.355,0,0
wspA,-0.155,1.0,0.35,1.0,0,0.155,0.35,0,0
yedE,-0.217,1.0,-0.306,1.0,0,0.217,0.306,0,0
PA14_18090,-0.294,1.0,-0.27,1.0,0,0.294,0.27,0,0
alg8,-0.346,1.0,-0.18,1.0,0,0.346,0.18,0,0
motY,0.246,1.0,-0.216,1.0,0,0.246,0.216,0,0
PA14_20960,0.366,1.0,0.178,1.0,0,0.366,0.178,0,0
metZ,0.275,1.0,0.287,1.0,0,0.275,0.287,0,0
fadH1,0.249,1.0,-0.282,1.0,0,0.249,0.282,0,0
slt,-0.2,1.0,0.7,1.0,0,0.2,0.7,0,0
PA14_26920,0.34,1.0,-0.123,1.0,0,0.34,0.123,0,0
PA14_28350,-0.203,1.0,0.103,1.0,0,0.203,0.103,0,0
PA14_28760,-0.2,1.0,-0.151,1.0,0,0.2,0.151,0,0
PA14_28850,0.21,1.0,-0.148,1.0,0,0.21,0.148,0,0
cpo,-0.211,1.0,0.139,1.0,0,0.211,0.139,0,0
hplT,0.299,1.0,1.727,1.0,0,0.299,1.727,0,0
nuoA,-0.169,1.0,0.107,1.0,0,0.169,0.107,0,0
infA,-0.217,1.0,0.244,1.0,0,0.217,0.244,0,0
dsrE,-0.504,1.0,-0.228,1.0,0,0.504,0.228,0,0
PA14_31050,0.22,1.0,0.383,1.0,0,0.22,0.383,0,0
PA14_36070,0.277,1.0,0.212,1.0,0,0.277,0.212,0,0
hcnA,-0.293,1.0,0.244,1.0,0,0.293,0.244,0,0
PA14_38140,-0.199,1.0,-0.18,1.0,0,0.199,0.18,0,0
PA14_40040,-0.246,1.0,0.148,1.0,0,0.246,0.148,0,0
tig,-0.186,1.0,0.139,1.0,0,0.186,0.139,0,0
PA14_43220,0.237,1.0,-0.374,1.0,0,0.237,0.374,0,0
zipA,0.2,1.0,0.127,1.0,0,0.2,0.127,0,0
PA14_45180,0.455,1.0,-0.237,1.0,0,0.455,0.237,0,0
cheZ,0.201,1.0,0.198,1.0,0,0.201,0.198,0,0
flhB,0.199,1.0,-0.132,1.0,0,0.199,0.132,0,0
PA14_46820,0.214,1.0,0.67,1.0,0,0.214,0.67,0,0
PA14_47390,-0.221,1.0,-0.229,1.0,0,0.221,0.229,0,0
PA14_48340,0.394,1.0,0.208,1.0,0,0.394,0.208,0,0
PA14_52465,-0.325,1.0,0.448,1.0,0,0.325,0.448,0,0
PA14_53150,0.203,1.0,-0.124,1.0,0,0.203,0.124,0,0
PA14_53160,0.283,1.0,-0.192,1.0,0,0.283,0.192,0,0
PA14_54820,-0.21,1.0,-0.161,1.0,0,0.21,0.161,0,0
PA14_55140,-0.575,1.0,0.196,1.0,0,0.575,0.196,0,0
hxcS,0.588,1.0,0.237,1.0,0,0.588,0.237,0,0
ftsA,0.2,1.0,0.269,1.0,0,0.2,0.269,0,0
PA14_57980,-0.211,1.0,0.381,1.0,0,0.211,0.381,0,0
pilV2,0.225,1.0,0.139,1.0,0,0.225,0.139,0,0
PA14_59960,-0.234,1.0,0.379,1.0,0,0.234,0.379,0,0
mviN,-0.199,1.0,0.156,1.0,0,0.199,0.156,0,0
PA14_62520,-0.43,1.0,-0.484,1.0,0,0.43,0.484,0,0
grpE,0.244,1.0,-0.16,1.0,0,0.244,0.16,0,0
PA14_63330,0.25,1.0,-0.162,1.0,0,0.25,0.162,0,0
pchA,0.221,1.0,-0.123,1.0,0,0.221,0.123,0,0
PA14_65860,0.211,1.0,0.162,1.0,0,0.211,0.162,0,0
PA14_68940,0.2,1.0,0.134,1.0,0,0.2,0.134,0,0
yhiH,-0.192,1.0,0.223,1.0,0,0.192,0.223,0,0
ppk,0.251,1.0,0.147,1.0,0,0.251,0.147,0,0
PA14_70360,0.215,1.0,0.657,1.0,0,0.215,0.657,0,0
PA14_71280,0.469,1.0,-0.856,1.0,0,0.469,0.856,0,0
tRNA,1.101,1.0,-0.171,1.0,0,1.101,0.171,0,0
tRNA,-1.116,1.0,-0.148,1.0,0,1.116,0.148,0,0
6S,1.695,1.0,0.198,1.0,0,1.695,0.198,0,0
P8,-0.976,1.0,0.142,1.0,0,0.976,0.142,0,0
pyrC,0.256,1.0,-0.108,1.0,0,0.256,0.108,0,0
metK,-0.182,1.0,0.202,1.0,0,0.182,0.202,0,0
folK,0.243,1.0,0.21,1.0,0,0.243,0.21,0,0
PA14_08580,-0.968,1.0,0.159,1.0,0,0.968,0.159,0,0
merA,0.207,1.0,0.193,1.0,0,0.207,0.193,0,0
PA14_15710,0.353,1.0,0.126,1.0,0,0.353,0.126,0,0
PA14_15860,-0.161,1.0,0.591,1.0,0,0.161,0.591,0,0
