gene_symbol,biofilm_logFC,biofilm_padj,planktonic_logFC,planktonic_padj,biofilm_label,biofilm_abs_logFC,planktonic_abs_logFC,biofilm_significant,planktonic_significant
PA14_69700,-0.005,1.0,0.278,1.0,0,0.005,0.278,0,0
sdaB,-0.013,1.0,0.163,1.0,0,0.013,0.163,0,0
PA14_71200,0.305,1.0,-0.018,1.0,0,0.305,0.018,0,0
PA14_72030,0.014,1.0,-0.03,1.0,0,0.014,0.03,0,0
PA14_72250,0.03,1.0,0.011,1.0,0,0.03,0.011,0,0
dnaN,0.007,1.0,0.033,1.0,0,0.007,0.033,0,0
pcaR,-0.008,1.0,0.07,1.0,0,0.008,0.07,0,0
PA14_03580,0.048,1.0,0.249,1.0,0,0.048,0.249,0,0
pilU,0.009,1.0,-0.084,1.0,0,0.009,0.084,0,0
glcB,0.003,1.0,-0.025,1.0,0,0.003,0.025,0,0
modR,-0.013,1.0,0.015,1.0,0,0.013,0.015,0,0
tktA,0.004,1.0,-0.051,1.0,0,0.004,0.051,0,0
rpoC,0.025,1.0,-0.02,1.0,0,0.025,0.02,0,0
rpmD,-0.001,1.0,-0.079,1.0,0,0.001,0.079,0,0
acoB,-0.035,1.0,0.004,1.0,0,0.035,0.004,0,0
pgpA,-0.014,1.0,0.018,1.0,0,0.014,0.018,0,0
leuS,0.017,1.0,0.002,1.0,0,0.017,0.002,0,0
PA14_12810,0.032,1.0,0.184,1.0,0,0.032,0.184,0,0
PA14_13000,0.02,1.0,0.003,1.0,0,0.02,0.003,0,0
PA14_13110,0.029,1.0,-0.001,1.0,0,0.029,0.001,0,0
PA14_15435,0.025,1.0,0.034,1.0,0,0.025,0.034,0,0
PA14_16610,-0.013,1.0,-0.011,1.0,0,0.013,0.011,0,0
cadR,0.037,1.0,0.01,1.0,0,0.037,0.01,0,0
adhC,0.02,1.0,-0.004,1.0,0,0.02,0.004,0,0
PA14_17650,-0.073,1.0,0.007,1.0,0,0.073,0.007,0,0
prmF,0.053,1.0,0.243,1.0,0,0.053,0.243,0,0
srmB,-0.005,1.0,0.243,1.0,0,0.005,0.243,0,0
PA14_20000,-0.034,1.0,0.017,1.0,0,0.034,0.017,0,0
phnD,0.063,1.0,0.182,1.0,0,0.063,0.182,0,0
